user_id,nome,email,estado,data_cadastro
1,Usuario_1,usuario_1@email.com,RJ,2024-11-29
2,Usuario_2,usuario_2@email.com,SP,2024-11-21
3,Usuario_3,usuario_3@email.com,PR,2024-06-26
4,Usuario_4,usuario_4@email.com,RS,2024-06-30
5,Usuario_5,usuario_5@email.com,RS,2024-05-20
6,Usuario_6,usuario_6@email.com,MG,2024-08-15
7,Usuario_7,usuario_7@email.com,RJ,2025-02-05
8,Usuario_8,usuario_8@email.com,CE,2024-09-06
9,Usuario_9,usuario_9@email.com,RJ,2024-07-21
10,Usuario_10,usuario_10@email.com,GO,2024-08-18
11,Usuario_11,usuario_11@email.com,SC,2024-10-28
12,Usuario_12,usuario_12@email.com,SP,2024-11-03
13,Usuario_13,usuario_13@email.com,SP,2024-07-14
14,Usuario_14,usuario_14@email.com,RJ,2024-07-18
15,Usuario_15,usuario_15@email.com,RS,2024-10-11
16,Usuario_16,usuario_16@email.com,RS,2024-09-01
17,Usuario_17,usuario_17@email.com,CE,2024-11-09
18,Usuario_18,usuario_18@email.com,GO,2025-01-16
19,Usuario_19,usuario_19@email.com,SP,2024-04-30
20,Usuario_20,usuario_20@email.com,CE,2024-12-21
21,Usuario_21,usuario_21@email.com,RS,2024-07-04
22,Usuario_22,usuario_22@email.com,CE,2024-10-08
23,Usuario_23,usuario_23@email.com,SC,2024-12-24
24,Usuario_24,usuario_24@email.com,RS,2024-09-24
25,Usuario_25,usuario_25@email.com,PE,2025-03-31
26,Usuario_26,usuario_26@email.com,GO,2024-11-11
27,Usuario_27,usuario_27@email.com,PR,2024-08-23
28,Usuario_28,usuario_28@email.com,SP,2024-04-26
29,Usuario_29,usuario_29@email.com,MG,2024-10-09
30,Usuario_30,usuario_30@email.com,SC,2024-10-07
31,Usuario_31,usuario_31@email.com,BA,2024-05-18
32,Usuario_32,usuario_32@email.com,PR,2024-05-24
33,Usuario_33,usuario_33@email.com,MG,2025-02-04
34,Usuario_34,usuario_34@email.com,RS,2024-08-12
35,Usuario_35,usuario_35@email.com,BA,2025-04-04
36,Usuario_36,usuario_36@email.com,RJ,2025-02-17
37,Usuario_37,usuario_37@email.com,RJ,2024-08-08
38,Usuario_38,usuario_38@email.com,SC,2024-06-24
39,Usuario_39,usuario_39@email.com,RJ,2024-11-04
40,Usuario_40,usuario_40@email.com,BA,2025-03-02
41,Usuario_41,usuario_41@email.com,BA,2024-09-09
42,Usuario_42,usuario_42@email.com,GO,2025-03-02
43,Usuario_43,usuario_43@email.com,PR,2024-07-27
44,Usuario_44,usuario_44@email.com,SP,2024-09-01
45,Usuario_45,usuario_45@email.com,PE,2025-04-15
46,Usuario_46,usuario_46@email.com,CE,2025-02-08
47,Usuario_47,usuario_47@email.com,RJ,2024-09-25
48,Usuario_48,usuario_48@email.com,SC,2024-05-22
49,Usuario_49,usuario_49@email.com,RJ,2025-02-02
50,Usuario_50,usuario_50@email.com,CE,2025-03-15
51,Usuario_51,usuario_51@email.com,PR,2024-08-25
52,Usuario_52,usuario_52@email.com,GO,2024-12-08
53,Usuario_53,usuario_53@email.com,BA,2024-10-31
54,Usuario_54,usuario_54@email.com,GO,2024-06-07
55,Usuario_55,usuario_55@email.com,RS,2024-05-03
56,Usuario_56,usuario_56@email.com,RJ,2024-10-01
57,Usuario_57,usuario_57@email.com,SP,2024-05-25
58,Usuario_58,usuario_58@email.com,RS,2025-03-12
59,Usuario_59,usuario_59@email.com,PR,2024-11-05
60,Usuario_60,usuario_60@email.com,RJ,2024-05-12
61,Usuario_61,usuario_61@email.com,RS,2024-07-23
62,Usuario_62,usuario_62@email.com,RJ,2024-10-10
63,Usuario_63,usuario_63@email.com,SC,2024-11-11
64,Usuario_64,usuario_64@email.com,PR,2024-06-06
65,Usuario_65,usuario_65@email.com,PE,2024-08-16
66,Usuario_66,usuario_66@email.com,BA,2024-07-19
67,Usuario_67,usuario_67@email.com,MG,2025-04-04
68,Usuario_68,usuario_68@email.com,BA,2024-06-10
69,Usuario_69,usuario_69@email.com,BA,2025-03-18
70,Usuario_70,usuario_70@email.com,RS,2024-12-23
71,Usuario_71,usuario_71@email.com,PR,2024-06-03
72,Usuario_72,usuario_72@email.com,RJ,2024-05-07
73,Usuario_73,usuario_73@email.com,GO,2024-11-26
74,Usuario_74,usuario_74@email.com,MG,2024-12-27
75,Usuario_75,usuario_75@email.com,CE,2025-03-07
76,Usuario_76,usuario_76@email.com,RS,2024-09-12
77,Usuario_77,usuario_77@email.com,MG,2025-03-03
78,Usuario_78,usuario_78@email.com,PE,2024-06-02
79,Usuario_79,usuario_79@email.com,SC,2024-04-27
80,Usuario_80,usuario_80@email.com,PR,2025-03-02
81,Usuario_81,usuario_81@email.com,CE,2024-09-07
